theta,unattCRF,attCRF
-34,10.6721542109973,12.4445890249686
-33,10.7694873984911,12.5580870593163
-32,10.8647586922997,12.669180782859
-31,10.957898394064,12.7777889227483
-30,11.0488379398409,12.8838315289299
-29,11.1375099837822,12.9872300717173
-28,11.2238484808704,13.0879075382673
-27,11.3077887685708,13.1857885277892
-26,11.3892676472568,13.280799345326
-25,11.4682234592712,13.372868093944
-24,11.5445961664836,13.4619247651687
-23,11.618327426209,13.54790132751
-22,11.6893606653525,13.6307318129193
-21,11.7576411526485,13.7103524010239
-20,11.8231160688654,13.7867015009901
-19,11.8857345748501,13.8597198308666
-18,11.9454478772888,13.9293504942651
-17,12.0022092920652,13.9955390542401
-16,12.0559743051015,14.0582336042325
-15,12.1067006305692,14.1173848359471
-14,12.154348266365,14.1729461040408
-13,12.1988795467484,14.2248734875008
-12,12.2402591920437,14.2731258476007
-11,12.2784543553149,14.3176648823257
-10,12.3134346659257,14.3584551771674
-9,12.3451722699054,14.3954642521915
-8,12.3736418670418,14.4286626052921
-7,12.3988207446354,14.4580237515506
-6,12.4206888078432,14.483524258619
-5,12.4392286053674,14.5051437766744
-4,12.4544252484715,14.5228649439473
-3,12.4662633029491,14.5366697613778
-2,12.4746990817626,14.5465072735802
-1,12.479644725178,14.5522749992214
0,12.4812202310727,14.5535356579868
1,12.479644725178,14.5522749992214
2,12.4746990817626,14.5465072735802
3,12.4662633029491,14.5366697613778
4,12.4544252484715,14.5228649439473
5,12.4392286053675,14.5051437766744
6,12.4206888078432,14.483524258619
7,12.3988207446354,14.4580237515506
8,12.3736418670418,14.4286626052921
9,12.3451722699054,14.3954642521915
10,12.3134346659257,14.3584551771674
11,12.2784543553148,14.3176648823257
12,12.2402591920437,14.2731258476007
13,12.1988795467484,14.2248734875008
14,12.154348266365,14.1729461040408
15,12.1067006305692,14.1173848359471
16,12.0559743051015,14.0582336042325
17,12.0022092920652,13.9955390542401
18,11.9454478772888,13.9293504942651
19,11.8857345748501,13.8597198308666
20,11.8231160688654,13.7867015009901
21,11.7576411526485,13.7103524010239
22,11.6893606653525,13.6307318129193
23,11.618327426209,13.54790132751
24,11.5445961664836,13.4619247651686
25,11.4682234592712,13.372868093944
26,11.3892676472568,13.2807993453261
27,11.3077887685708,13.1857885277892
28,11.2238484808704,13.0879075382673
29,11.1375099837822,12.9872300717173
30,11.0488379398409,12.8838315289299
31,10.957898394064,12.7777889227483
32,10.8647586922997,12.669180782859
33,10.7694873984911,12.5580870593163
34,10.6721542109973,12.4445890249686
35,10.5728298781125,12.3287691769492
36,10.4715861129279,12.210711137401
37,10.3684955076761,12.0904995535975
38,10.2636314477028,11.9682199976283
39,10.1570680252037,11.8439588658137
40,10.0488799528704,11.7178032780094
41,9.93914247758231,11.5898409769675
42,9.82793129428195,11.4601602279108
43,9.71532246017116,11.3288497184808
44,9.60139230936013,11.1959984592137
45,9.48621736810149,11.0616956846991
46,9.36987427073783,10.9260307555706
47,9.25243967648886,10.7890930614745
48,9.13399018720074,10.650971925162
49,9.0146022661773,10.5117565078413
50,8.89435215820911,10.3715357159276
51,8.7733158109127,10.2303981093203
52,8.65156879748861,10.0884318113344
53,8.52918624100215,9.94572442040842
54,8.40624274028737,9.80236292370363
55,8.28281229757006,9.65843361270884
56,8.15896824790044,9.51402200095489
57,8.03478319048271,9.36921274394103
58,7.91032892198264,9.22408956136794
59,7.78567637189068,9.07873516176723
60,7.66089554001199,8.93323116961133
61,7.53605543615054,8.78765805498156
62,7.41122402204897,8.64209506586668
63,7.28646815564098,8.49662016315778
64,7.16185353766754,8.35130995839954
65,7.03744466070312,8.20623965435179
66,6.9133047606333,8.06148298840922
67,6.78949577061904,7.91711217892095
68,6.66607827757873,7.77319787444573
69,6.54311148121319,7.62980910597229
70,6.42065315559371,7.48701324212869
71,6.29875961332901,7.34487594739819
72,6.17748567232048,7.20346114335368
73,6.05688462511158,7.06283097291684
74,5.93700821083141,6.92304576764209
75,5.8179065897281,6.78416401802072
76,5.69962832028313,6.64624234679405
77,5.58222033889247,6.50933548526008
78,5.46572794209696,6.37349625255238
79,5.35019477133912,6.23877553786488
80,5.23566280021981,6.10522228559199
81,5.12217232422424,5.97288348334759
82,5.00976195288265,5.84180415282336
83,4.89846860432723,5.71202734344105
84,4.78832750220363,5.58359412875037
85,4.67937217489148,5.45654360551929
86,4.57163445698548,5.3309128954604
87,4.46514449298542,5.20673714953277
88,4.35993074314041,5.08404955475597
89,4.25601999139016,4.96288134346922
90,4.15343735534346,4.84326180496607
91,4.0522062982315,4.72521829943188
92,3.95234864277185,4.60877627410924
93,3.85388458687653,4.4939592816137
94,3.75683272113611,4.38078900032039
95,3.66121004800986,4.26928525674015
96,3.56703200265086,4.15946604980196
97,3.47431247529326,4.05134757695716
98,3.38306383512849,3.94494426201958
99,3.29329695559538,3.84026878465469
100,3.20502124100937,3.73733211143008
101,3.11824465445487,3.63614352833883
102,3.03297374686443,3.53671067470689
103,2.94921368720865,3.43903957839558
104,2.86696829371999,3.34313469220985
105,2.78624006607456,3.24899893142343
106,2.70703021845545,3.15663371233207
107,2.62933871342215,3.06603899174676
108,2.55316429651093,2.9772133073392
109,2.47850453149162,2.89015381875289
110,2.40535583620745,2.80485634939399
111,2.3337135189251,2.72131542881719
112,2.26357181512361,2.63952433562341
113,2.19492392465169,2.55947514078698
114,2.12776204918446,2.48115875133217
115,2.06207742991199,2.40456495427995
116,1.99786038539359,2.3296824607881
117,1.93510034951335,2.25649895040934
118,1.87378590947406,2.18500111539443
119,1.81390484376864,2.11517470496891
120,1.75544416006979,2.04700456951458
121,1.69839013298068,1.98047470458903
122,1.64272834159134,1.91556829471857
