Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	PresentedDurFrames	PresentedDurMs	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	LateralShiftDir	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
296	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	45	1	9	189	68	95	97	163	2	22.222	395118166	1504204750	612165501	1654432841	R	N	D			XR Controller	F6ADA61F	D81A967B	E9223BFB			
297	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	225	225	5	1	118	68	95	97	163	2	22.222	1063834733	212024902	588190024	580589428	R	N	N			XR Controller	A00AA63F	2F6FECFB	E9223BFB			
298	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	315	315	3	3	640	68	95	117	163	22	244.444	1497201245	1801560030	1595468674	2060365945	G	N	Db			XR Controller	CF5FC51F	CDC3FBBB	E9223BFB			
299	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	0	90	0	8	115	68	95	97	163	2	22.222	327157526	1524873582	1008448424	1538482829	R	N	N			XR Controller	53C5502F	2F6FECFB	E9223BFB			
300	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	315	45	1	9	72	68	95	107	163	12	133.333	135029603	2133019830	1952128606	1089272121	G	N	Db			XR Controller	26F1BBF3	CDC3FBBB	E9223BFB			
301	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	270	270	4	2	108	68	95	127	163	32	355.556	1317795131	1806091676	1170447744	1910765294	G	N	Db			XR Controller	1B68230B	CDC3FBBB	E9223BFB			
302	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	0	0	2	6	88	68	95	117	163	22	244.444	1414195254	1716057008	872914318	2073838723	G	N	D			XR Controller	BB9F888F	FF1A6CBB	E9223BFB			
303	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	135	45	1	9	96	68	95	97	163	2	22.222	1173888646	2112327449	1186538910	664612441	R	N	Db			XR Controller	FF5E3B2F	420BC5FB	E9223BFB			
304	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	135	90	0	8	103	68	95	103	163	8	88.889	939843310	1917231621	1904485768	210783202	R	N	N			XR Controller	4AD6A03B	2F6FECFB	E9223BFB			
305	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	45	45	1	9	82	68	95	101	163	6	66.667	353365759	84006043	1598511181	224944178	R	N	D			XR Controller	C885DCF7	D81A967B	E9223BFB			
306	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	0	90	90	0	8	91	68	95	101	163	6	66.667	828891811	1416756704	715830710	782423292	R	N	D			XR Controller	BDD4706F	D81A967B	E9223BFB			
307	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	135	315	3	3	132	68	95	103	163	8	88.889	563277521	372662892	1691284474	1642059062	G	N	D			XR Controller	0F97BA5B	FF1A6CBB	E9223BFB			
308	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	135	135	7	7	66	68	95	111	163	16	177.778	1831499456	1911243924	1920576959	723278189	G	N	D			XR Controller	0E70040B	FF1A6CBB	E9223BFB			
309	SubfieldSwap_AperSweep_Ap25_v1	CUED	0	180	90	0	8	79	68	95	107	163	12	133.333	733915506	1986159045	1471534699	733863410	G	N	Db			XR Controller	26F1BBF3	CDC3FBBB	E9223BFB			
310	SubfieldSwap_AperSweep_Ap25_v1	CUED	1	45	225	5	1	86	68	95	117	163	22	244.444	1426578703	100934088	1106461647	1375348461	G	N	Da			XR Controller	10069D8F	71FFFA3B	E9223BFB			
311	SubfieldSwap_AperSweep_Ap25_v1	UNCUED	1	270	270	4	2	68	68	95	111	163	16	177.778	1567401711	218507728	1551589778	18555598	G	N	D			XR Controller	0E70040B	FF1A6CBB	E9223BFB			
