Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	DelayedFieldDepth	SwapType	EndKey	Device	MkHash32	ColorHash32	DepthHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes	DepthByFrame_SubfieldCodes
41	DepthBothPlanes	CUED	1	180	135	7	7	95	56	78	84	114	642302887	1841583479	1449313803	789239262	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
42	DepthBothPlanes	CUED	1	0	0	2	6	76	56	78	84	114	1153319502	89151916	1931890772	1497075586	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
43	DepthBothPlanes	CUED	0	0	0	2	6	81	56	78	84	114	1626720218	932252466	506749904	1028700497	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
44	DepthBothPlanes	UNCUED	1	315	315	3	3	89	56	78	84	114	725757589	2077295694	699520913	2039192868	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
45	DepthBothPlanes	CUED	1	180	180	6	4	121	56	78	84	114	2121001109	1770031999	786990587	1710236097	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
46	DepthBothPlanes	UNCUED	1	0	45	1	9	75	56	78	84	114	33812987	1466858067	1133601847	219599110	G	F	N		XR Controller	67DD8480	083E616C	888B2CCC			
47	DepthBothPlanes	UNCUED	0	180	225	5	1	168	56	78	84	114	725824281	135977345	1277751891	72894893	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
48	DepthBothPlanes	CUED	0	270	225	5	1	92	56	78	84	114	1380319810	1593311822	1672896549	1800271526	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
49	DepthBothPlanes	UNCUED	0	225	225	5	1	78	56	78	84	114	1537285955	373216948	2064068587	372206869	R	N	N		XR Controller	F088AE08	BC9E36AC	97C666DC			
50	DepthBothPlanes	UNCUED	1	135	270	4	2	73	56	78	84	114	1851789667	68692246	1536631962	1230871072	R	F	N		XR Controller	67DD8480	BC9E36AC	888B2CCC			
51	DepthBothPlanes	CUED	1	180	180	6	4	99	56	78	84	114	1155706738	157358609	187250608	2035826482	G	N	N		XR Controller	CB090948	083E616C	97C666DC			
52	DepthBothPlanes	UNCUED	0	270	270	4	2	73	56	78	84	114	826902312	1812825334	1544898594	1471153186	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
53	DepthBothPlanes	CUED	1	0	315	3	3	88	56	78	84	114	1657793361	1801103861	1898667834	1784582782	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
54	DepthBothPlanes	CUED	0	45	45	1	9	85	56	78	84	114	589639217	298840404	2004645654	491518285	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
55	DepthBothPlanes	CUED	0	135	270	4	2	86	56	78	84	114	1525791708	1888791605	1794940655	180398651	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
56	DepthBothPlanes	UNCUED	0	135	135	7	7	82	56	78	84	114	765123905	691689092	46239215	427395408	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
57	DepthBothPlanes	CUED	0	270	270	4	2	83	56	78	84	114	1753728204	10605419	1804846444	252165426	R	F	N		XR Controller	6CBED730	BC9E36AC	888B2CCC			
58	DepthBothPlanes	CUED	1	225	225	5	1	81	56	78	84	114	437886956	468487025	2103052310	469995024	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
59	DepthBothPlanes	UNCUED	0	45	225	5	1	78	56	78	84	114	591794897	1693952083	780711097	1167666238	R	N	N		XR Controller	F088AE08	BC9E36AC	97C666DC			
60	DepthBothPlanes	UNCUED	0	0	270	4	2	78	56	78	84	114	993568956	1789238156	830409630	1477501057	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
61	DepthBothPlanes	CUED	0	270	270	4	2	74	56	78	84	114	444196724	651099694	838079863	923932004	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
62	DepthBothPlanes	CUED	1	45	0	2	6	95	56	78	84	114	81098655	280814055	1451025112	940574703	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
63	DepthBothPlanes	CUED	0	90	90	0	8	96	56	78	84	114	866807612	2101496204	1861224744	1036970667	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
64	DepthBothPlanes	UNCUED	1	90	315	3	3	92	56	78	84	114	558120344	1276020057	1598756953	1086595514	R	F	N		XR Controller	67DD8480	BC9E36AC	888B2CCC			
65	DepthBothPlanes	CUED	1	315	270	4	2	78	56	78	84	114	1545765276	102966800	159708666	1760141465	R	F	N		XR Controller	CB090948	BC9E36AC	888B2CCC			
66	DepthBothPlanes	UNCUED	0	90	90	0	8	80	56	78	84	114	648699361	788507230	1286338254	1398224076	G	F	N		XR Controller	F088AE08	083E616C	888B2CCC			
67	DepthBothPlanes	CUED	0	180	180	6	4	91	56	78	84	114	1722978183	625137564	356829860	597871550	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
68	DepthBothPlanes	CUED	1	315	315	3	3	90	56	78	84	114	601964187	1333849863	622204724	1114379072	R	N	N		XR Controller	CB090948	BC9E36AC	97C666DC			
69	DepthBothPlanes	CUED	0	45	45	1	9	72	56	78	84	114	192054376	531058323	135239090	2084841858	R	N	N		XR Controller	6CBED730	BC9E36AC	97C666DC			
70	DepthBothPlanes	CUED	1	225	270	4	2	73	56	78	84	114	1039980266	228671552	698946818	585091344	G	F	N		XR Controller	CB090948	083E616C	888B2CCC			
71	DepthBothPlanes	CUED	0	270	45	1	9	101	56	78	84	114	1984816590	809064270	2014006485	769202447	G	F	N		XR Controller	6CBED730	083E616C	888B2CCC			
72	DepthBothPlanes	UNCUED	0	180	45	1	9	75	56	78	84	114	1820915358	705741822	633100171	829492133	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
73	DepthBothPlanes	UNCUED	0	45	225	5	1	68	56	78	84	114	912334954	967936077	120810116	1770711828	R	F	N		XR Controller	F088AE08	BC9E36AC	888B2CCC			
74	DepthBothPlanes	UNCUED	0	315	315	3	3	76	56	78	84	114	2108238181	1399734149	281400103	365802003	G	N	N		XR Controller	F088AE08	083E616C	97C666DC			
75	DepthBothPlanes	CUED	0	135	270	4	2	69	56	78	84	114	19059853	564256429	1974078257	1442954521	G	N	N		XR Controller	6CBED730	083E616C	97C666DC			
