Trial	Experiment	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	SwapType	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
29	MotionSwap	UNCUED	0	180	180	6	4	90	56	78	84	114	1649296388	1151233542	537754741	1919527381	G	N		XR Controller	F088AE08	083E616C		
30	MotionSwap	UNCUED	0	135	0	2	6	95	56	78	84	114	1133884978	425940378	1624610790	1928076152	R	M		XR Controller	9E75A900	BC9E36AC		
31	MotionSwap	UNCUED	0	180	225	5	1	92	56	78	84	114	1342742380	192591685	604025613	1553871631	R	N		XR Controller	F088AE08	BC9E36AC		
32	MotionSwap	UNCUED	0	270	45	1	9	100	56	78	84	114	2122874450	1387534220	1412785446	142878841	G	M		XR Controller	9E75A900	083E616C		
33	MotionSwap	CUED	0	180	225	5	1	90	56	78	84	114	1515510621	1684824234	2003612711	1522434161	R	M		XR Controller	01A12DC8	BC9E36AC		
34	MotionSwap	CUED	1	180	45	1	9	176	56	78	84	114	207406201	1114733648	1596900420	684787554	G	M		XR Controller	3626B2B0	083E616C		
35	MotionSwap	UNCUED	0	270	270	4	2	86	56	78	84	114	1314164754	1002058234	917886310	349359401	R	M		XR Controller	9E75A900	BC9E36AC		
36	MotionSwap	UNCUED	0	225	225	5	1	86	56	78	84	114	1620792527	158173341	585333772	1330035486	R	N		XR Controller	F088AE08	BC9E36AC		
37	MotionSwap	UNCUED	0	0	90	0	8	99	56	78	84	114	1481340703	2059591890	227496821	348753406	R	N		XR Controller	F088AE08	BC9E36AC		
38	MotionSwap	UNCUED	1	135	315	3	3	85	56	78	84	114	1838124354	68727924	29402920	520394507	G	N		XR Controller	67DD8480	083E616C		
39	MotionSwap	UNCUED	0	315	270	4	2	90	56	78	84	114	1900700557	1381196829	902416931	907597052	G	N		XR Controller	F088AE08	083E616C		
40	MotionSwap	UNCUED	0	45	180	6	4	122	56	78	84	114	849457845	1205173492	20936025	554534575	R	N		XR Controller	F088AE08	BC9E36AC		
41	MotionSwap	CUED	0	90	90	0	8	79	56	78	84	114	625408758	1361770280	1979424023	1708958161	G	N		XR Controller	6CBED730	083E616C		
42	MotionSwap	UNCUED	1	0	0	2	6	81	56	78	84	114	703845598	390353199	1089940514	453045548	G	N		XR Controller	67DD8480	083E616C		
43	MotionSwap	CUED	0	135	270	4	2	100	56	78	84	114	1558125943	13001269	863213681	585183537	G	M		XR Controller	01A12DC8	083E616C		
44	MotionSwap	UNCUED	1	225	90	0	8	93	56	78	84	114	845979364	872684409	1820583048	1470202833	G	M		XR Controller	B9F08988	083E616C		
45	MotionSwap	UNCUED	1	135	270	4	2	87	56	78	84	114	1881555854	859146484	1587275066	160123642	R	M		XR Controller	B9F08988	BC9E36AC		
46	MotionSwap	CUED	0	45	225	5	1	121	56	78	84	114	354676038	727650158	1006788878	318912609	G	M		XR Controller	01A12DC8	083E616C		
47	MotionSwap	CUED	0	315	315	3	3	92	56	78	84	114	466642818	1315522772	857324147	1786080444	G	M		XR Controller	01A12DC8	083E616C		
48	MotionSwap	CUED	0	90	90	0	8	96	56	78	84	114	1957645054	92124092	523328903	180280142	G	M		XR Controller	01A12DC8	083E616C		
49	MotionSwap	CUED	0	315	315	3	3	95	56	78	84	114	1019996164	2118432237	1644880104	1638569107	G	N		XR Controller	6CBED730	083E616C		
50	MotionSwap	CUED	0	225	225	5	1	88	56	78	84	114	1347961834	327622557	169367736	1781543248	G	M		XR Controller	01A12DC8	083E616C		
51	MotionSwap	CUED	1	270	315	3	3	261	56	78	84	114	212040672	644647267	1754265293	57382899	R	M		XR Controller	3626B2B0	BC9E36AC		
52	MotionSwap	UNCUED	1	135	315	3	3	189	56	78	84	114	731374993	1120478303	1754750963	1730423569	R	N		XR Controller	67DD8480	BC9E36AC		
53	MotionSwap	CUED	0	135	90	0	8	90	56	78	84	114	1720299889	1809636975	1840987498	904065255	G	N		XR Controller	6CBED730	083E616C		
54	MotionSwap	CUED	1	135	135	7	7	118	56	78	84	114	764107059	772829233	1602230774	726253850	R	M		XR Controller	3626B2B0	BC9E36AC		
55	MotionSwap	CUED	1	180	90	0	8	93	56	78	84	114	2069914685	1182333014	1990429234	160182899	G	N		XR Controller	CB090948	083E616C		
56	MotionSwap	UNCUED	0	45	45	1	9	90	56	78	84	114	1000973609	605370549	657027979	1154038378	R	M		XR Controller	9E75A900	BC9E36AC		
57	MotionSwap	CUED	0	225	225	5	1	87	56	78	84	114	67324121	927871444	993384314	660981001	R	N		XR Controller	6CBED730	BC9E36AC		
58	MotionSwap	UNCUED	1	180	90	0	8	90	56	78	84	114	184582983	38758938	1575145946	1573205159	G	N		XR Controller	67DD8480	083E616C		
59	MotionSwap	CUED	0	270	225	5	1	83	56	78	84	114	1638896547	1415602558	959704712	404712356	G	M		XR Controller	01A12DC8	083E616C		
60	MotionSwap	UNCUED	1	315	270	4	2	77	56	78	84	114	893134520	1066743064	1368525893	1517829755	G	M		XR Controller	B9F08988	083E616C		
61	MotionSwap	CUED	0	0	0	2	6	87	56	78	84	114	946299093	148754979	1485013381	1799738687	R	M		XR Controller	01A12DC8	BC9E36AC		
62	MotionSwap	UNCUED	0	270	225	5	1	92	56	78	84	114	587577880	1711791445	401438565	564253992	R	N		XR Controller	F088AE08	BC9E36AC		
63	MotionSwap	CUED	1	90	135	7	7	87	56	78	84	114	1218871388	1209014472	441405842	1389864749	R	N		XR Controller	CB090948	BC9E36AC		
64	MotionSwap	CUED	1	45	180	6	4	122	56	78	84	114	677307629	876359302	51667234	1150228839	R	M		XR Controller	3626B2B0	BC9E36AC		
65	MotionSwap	CUED	1	180	180	6	4	112	56	78	84	114	1183424874	1469421908	777445493	927445030	R	N		XR Controller	CB090948	BC9E36AC		
66	MotionSwap	UNCUED	0	135	0	2	6	91	56	78	84	114	1522627171	1680319500	1357662284	1033749240	G	M		XR Controller	9E75A900	083E616C		
67	MotionSwap	UNCUED	0	90	45	1	9	86	56	78	84	114	1880808867	2083385783	1190559927	1061971557	G	M		XR Controller	9E75A900	083E616C		
68	MotionSwap	UNCUED	0	225	90	0	8	115	56	78	84	114	582723562	1982707229	63368135	187611726	R	M		XR Controller	9E75A900	BC9E36AC		
69	MotionSwap	UNCUED	1	225	0	2	6	179	56	78	84	114	207684880	1599505273	1281854466	1303983442	G	N		XR Controller	67DD8480	083E616C		
70	MotionSwap	CUED	0	225	225	5	1	88	56	78	84	114	1411406839	522123038	1690920114	574826676	R	M		XR Controller	01A12DC8	BC9E36AC		
71	MotionSwap	CUED	0	135	135	7	7	89	56	78	84	114	1533735685	977450160	1566133254	376970728	R	M		XR Controller	01A12DC8	BC9E36AC		
72	MotionSwap	UNCUED	1	45	225	5	1	117	56	78	84	114	1752466634	1089860574	1852176404	735414891	R	N		XR Controller	67DD8480	BC9E36AC		
73	MotionSwap	CUED	0	225	45	1	9	93	56	78	84	114	1028842458	1487960258	877041679	60735936	G	N		XR Controller	6CBED730	083E616C		
74	MotionSwap	UNCUED	1	180	270	4	2	126	56	78	84	114	297534316	2061178535	305254178	1812553979	R	M		XR Controller	B9F08988	BC9E36AC		
75	MotionSwap	CUED	0	180	0	2	6	83	56	78	84	114	1855625505	292294463	607463900	1556718060	G	N		XR Controller	6CBED730	083E616C		
76	MotionSwap	UNCUED	0	0	0	2	6	88	56	78	84	114	335471323	1654918350	1604763657	1724540312	R	M		XR Controller	9E75A900	BC9E36AC		
77	MotionSwap	UNCUED	1	0	225	5	1	80	56	78	84	114	1934806767	2115668496	45628052	311868300	R	N		XR Controller	67DD8480	BC9E36AC		
78	MotionSwap	UNCUED	1	135	135	7	7	87	56	78	84	114	1626066167	789884565	952631498	1466437449	G	M		XR Controller	B9F08988	083E616C		
79	MotionSwap	UNCUED	1	270	45	1	9	100	56	78	84	114	1023802522	1428833977	565106100	2045473433	R	M		XR Controller	B9F08988	BC9E36AC		
80	MotionSwap	CUED	0	135	180	6	4	120	56	78	84	114	1364273797	434907984	383982234	231034440	R	N		XR Controller	6CBED730	BC9E36AC		
81	MotionSwap	UNCUED	1	45	90	0	8	104	56	78	84	114	1606971599	1882670603	1110921113	330090743	G	M		XR Controller	B9F08988	083E616C		
82	MotionSwap	CUED	1	45	45	1	9	198	56	78	84	114	118351888	1365676061	538924674	2058183553	R	N		XR Controller	CB090948	BC9E36AC		
83	MotionSwap	UNCUED	0	315	180	6	4	119	56	78	84	114	681618963	932495065	1328592639	1524878813	G	M		XR Controller	9E75A900	083E616C		
84	MotionSwap	UNCUED	1	90	45	1	9	92	56	78	84	114	1573862590	1077432168	1732366846	1313574678	R	M		XR Controller	B9F08988	BC9E36AC		
85	MotionSwap	CUED	1	225	225	5	1	97	56	78	84	114	825367082	1807476891	1349311859	400776973	G	M		XR Controller	3626B2B0	083E616C		
86	MotionSwap	UNCUED	1	270	45	1	9	88	56	78	84	114	1903982490	135486187	136315533	21287254	G	N		XR Controller	67DD8480	083E616C		
87	MotionSwap	CUED	1	135	90	0	8	116	56	78	84	114	112167263	1204090898	1850056718	1295658326	G	N		XR Controller	CB090948	083E616C		
88	MotionSwap	CUED	1	225	225	5	1	91	56	78	84	114	71502638	2130164656	715830772	348737047	G	N		XR Controller	CB090948	083E616C		
89	MotionSwap	UNCUED	0	270	270	4	2	87	56	78	84	114	1270644399	1458240620	964732850	2063462878	G	N		XR Controller	F088AE08	083E616C		
90	MotionSwap	UNCUED	0	135	270	4	2	101	56	78	84	114	1641933083	326937236	434089395	39326385	R	N		XR Controller	F088AE08	BC9E36AC		
91	MotionSwap	CUED	1	135	90	0	8	89	56	78	84	114	1454648482	848948131	910126039	638261810	G	M		XR Controller	3626B2B0	083E616C		
92	MotionSwap	UNCUED	1	0	90	0	8	86	56	78	84	114	313787193	2010652894	1471080083	1797012883	R	M		XR Controller	B9F08988	BC9E36AC		
93	MotionSwap	CUED	1	270	270	4	2	90	56	78	84	114	1571904672	1611673846	613284916	84643112	G	N		XR Controller	CB090948	083E616C		
94	MotionSwap	UNCUED	1	315	135	7	7	104	56	78	84	114	1425968102	1267887044	1713703990	452091693	G	N		XR Controller	67DD8480	083E616C		
95	MotionSwap	CUED	0	315	45	1	9	92	56	78	84	114	1024782571	1994848007	1540329992	1502276728	R	M		XR Controller	01A12DC8	BC9E36AC		
96	MotionSwap	UNCUED	0	90	90	0	8	82	56	78	84	114	1237555810	1210949366	2103459243	1426236026	G	N		XR Controller	F088AE08	083E616C		
97	MotionSwap	CUED	0	0	45	1	9	85	56	78	84	114	973418224	846528831	1754364243	959597534	R	N		XR Controller	6CBED730	BC9E36AC		
98	MotionSwap	CUED	0	270	270	4	2	72	56	78	84	114	87923814	1318825157	1455110040	198419146	R	N		XR Controller	6CBED730	BC9E36AC		
99	MotionSwap	UNCUED	1	270	45	1	9	88	56	78	84	114	694936985	1943818646	881645734	1857522800	G	M		XR Controller	B9F08988	083E616C		
100	MotionSwap	UNCUED	1	315	180	6	4	150	56	78	84	114	1575475912	380151311	1687935117	1989294069	R	M		XR Controller	B9F08988	BC9E36AC		
101	MotionSwap	CUED	1	270	135	7	7	89	56	78	84	114	697558101	257223729	1382852501	1751413595	G	M		XR Controller	3626B2B0	083E616C		
102	MotionSwap	CUED	1	315	135	7	7	129	56	78	84	114	705540241	1370466928	2133862121	1639499524	R	M		XR Controller	3626B2B0	BC9E36AC		
103	MotionSwap	CUED	0	315	180	6	4	121	56	78	84	114	1320294826	1290143141	486902862	29136677	R	N		XR Controller	6CBED730	BC9E36AC		
104	MotionSwap	CUED	0	270	225	5	1	128	56	78	84	114	592380229	716709557	1663521838	1547791647	R	M		XR Controller	01A12DC8	BC9E36AC		
105	MotionSwap	CUED	1	90	90	0	8	91	56	78	84	114	352400674	544940197	1507018186	382004683	G	N		XR Controller	CB090948	083E616C		
106	MotionSwap	CUED	1	45	0	2	6	84	56	78	84	114	120477913	553573105	446472000	54973745	G	M		XR Controller	3626B2B0	083E616C		
107	MotionSwap	CUED	0	90	90	0	8	74	56	78	84	114	1840598523	123641598	1154833916	1344635550	R	N		XR Controller	6CBED730	BC9E36AC		
108	MotionSwap	UNCUED	1	90	90	0	8	76	56	78	84	114	473604528	1939333946	1769182507	1265786653	G	M		XR Controller	B9F08988	083E616C		
109	MotionSwap	CUED	1	0	0	2	6	80	56	78	84	114	907930300	78176619	1527927081	559757730	R	M		XR Controller	3626B2B0	BC9E36AC		
110	MotionSwap	CUED	1	315	315	3	3	271	56	78	84	114	661473081	867249278	976355948	623733615	G	N		XR Controller	CB090948	083E616C		
111	MotionSwap	CUED	1	0	315	3	3	178	56	78	84	114	11694758	300043136	169221202	878004941	G	N		XR Controller	CB090948	083E616C		
112	MotionSwap	CUED	1	0	225	5	1	153	56	78	84	114	411973870	1496067627	1839140884	1360943747	R	N		XR Controller	CB090948	BC9E36AC		
113	MotionSwap	UNCUED	1	45	45	1	9	192	56	78	84	114	969651376	1921934920	34966213	1065530449	R	M		XR Controller	B9F08988	BC9E36AC		
114	MotionSwap	UNCUED	0	315	225	5	1	87	56	78	84	114	162124181	740648949	1747517493	596111915	R	N		XR Controller	F088AE08	BC9E36AC		
115	MotionSwap	CUED	1	135	90	0	8	130	56	78	84	114	353030399	2018870739	2078841098	1058947088	R	N		XR Controller	CB090948	BC9E36AC		
116	MotionSwap	UNCUED	0	45	225	5	1	93	56	78	84	114	1409969268	1399299283	552389761	1594532053	G	M		XR Controller	9E75A900	083E616C		
117	MotionSwap	UNCUED	1	225	90	0	8	96	56	78	84	114	218354025	1693731976	440353758	927448561	R	N		XR Controller	67DD8480	BC9E36AC		
118	MotionSwap	CUED	1	180	0	2	6	107	56	78	84	114	732334913	1235807555	1614411028	947470656	R	M		XR Controller	3626B2B0	BC9E36AC		
119	MotionSwap	UNCUED	1	90	0	2	6	79	56	78	84	114	300687823	199554476	1636570676	15935983	G	N		XR Controller	67DD8480	083E616C		
120	MotionSwap	CUED	0	270	270	4	2	86	56	78	84	114	136663144	310381386	848044696	1842948263	G	N		XR Controller	6CBED730	083E616C		
121	MotionSwap	CUED	1	90	90	0	8	77	56	78	84	114	1889888423	2046638555	2054605445	1130475892	R	M		XR Controller	3626B2B0	BC9E36AC		
122	MotionSwap	CUED	1	225	225	5	1	90	56	78	84	114	1054199355	971459559	790402157	619817950	R	M		XR Controller	3626B2B0	BC9E36AC		
123	MotionSwap	UNCUED	1	180	135	7	7	105	56	78	84	114	98944333	196852601	1062934748	344000413	G	M		XR Controller	B9F08988	083E616C		
124	MotionSwap	UNCUED	0	90	-1	-1	-1	21	56	78	84	114	719948983	1370642883	875082467	1013654009	R	N		XR Controller	F088AE08	BC9E36AC		
125	MotionSwap	CUED	0	45	45	1	9	105	56	78	84	114	508685955	1810745797	489881729	77097110	R	M		XR Controller	01A12DC8	BC9E36AC		
126	MotionSwap	UNCUED	1	0	0	2	6	83	56	78	84	114	2132053763	5380580	934969367	234120774	G	M		XR Controller	B9F08988	083E616C		
127	MotionSwap	CUED	1	0	0	2	6	105	56	78	84	114	608057163	891325348	455640103	1361371783	G	M		XR Controller	3626B2B0	083E616C		
124	MotionSwap	UNCUED	0	90	225	5	1	85	56	78	84	114	719948983	1370642883	875082467	1013654009	R	N		XR Controller	F088AE08	BC9E36AC		
