Trial	Cond	RotCfg	TransDeg	RespDeg	RespIndex	RespDigit	RTf	OnsetFrame	TransStartFrame	TransEndFrame	TotalFrames	SeedA0	SeedA1	SeedB2	SeedB3	DelayedFieldColor	EndKey	Device	MkHash32	ColorHash32	MotionTypeByFrame_SubfieldCodes	ColorByFrame_SubfieldCodes
36	UNCUED	0	180	270	4	2	136	56	78	84	114	392391806	2017010140	1075889713	2080389259	R		XR Controller	F088AE08	BC9E36AC		
37	CUED	1	135	90	0	8	73	56	78	84	114	1145658693	616720011	849899870	441394799	G		XR Controller	CB090948	083E616C		
38	CUED	1	135	135	7	7	133	56	78	84	114	1435122174	884391248	249257648	508978981	R		XR Controller	CB090948	BC9E36AC		
39	CUED	0	45	45	1	9	81	56	78	84	114	1994612167	956892222	760722032	952809610	R		XR Controller	6CBED730	BC9E36AC		
40	CUED	1	315	315	3	3	86	56	78	84	114	6098226	1200961115	507486820	1488020284	G		XR Controller	CB090948	083E616C		
41	UNCUED	0	0	225	5	1	191	56	78	84	114	1434048512	1519799927	1598287258	1511701813	R		XR Controller	F088AE08	BC9E36AC		
42	UNCUED	0	270	90	0	8	80	56	78	84	114	1575551828	929818707	1189975893	364557348	R		XR Controller	F088AE08	BC9E36AC		
43	CUED	0	315	315	3	3	96	56	78	84	114	287595364	963096549	1590073840	652427463	R		XR Controller	6CBED730	BC9E36AC		
44	UNCUED	0	270	270	4	2	68	56	78	84	114	949468535	1510059090	87053125	1400827107	G		XR Controller	F088AE08	083E616C		
45	UNCUED	1	225	315	3	3	62	56	78	84	114	183114360	410684004	1775436858	2122635974	R		XR Controller	67DD8480	BC9E36AC		
46	CUED	0	270	270	4	2	127	56	78	84	114	935461012	692602596	1551147952	1568072031	G		XR Controller	6CBED730	083E616C		
47	UNCUED	0	315	315	3	3	140	56	78	84	114	1571926845	2065605295	709918415	381378327	G		XR Controller	F088AE08	083E616C		
48	UNCUED	1	90	90	0	8	71	56	78	84	114	464912815	1216287648	1710344185	1582367699	R		XR Controller	67DD8480	BC9E36AC		
49	CUED	0	0	0	2	6	135	56	78	84	114	396432902	133118668	998487397	1396813748	R		XR Controller	6CBED730	BC9E36AC		
50	CUED	1	270	270	4	2	66	56	78	84	114	1092895091	1956388451	2048056819	1619475607	R		XR Controller	CB090948	BC9E36AC		
51	CUED	0	0	0	2	6	70	56	78	84	114	864765093	469894978	987384888	1694119970	G		XR Controller	6CBED730	083E616C		
52	CUED	0	225	45	1	9	63	56	78	84	114	186212501	393515319	353633279	1120448681	G		XR Controller	6CBED730	083E616C		
53	UNCUED	1	90	90	0	8	65	56	78	84	114	234083841	2025358248	1442964702	783267349	G		XR Controller	67DD8480	083E616C		
54	CUED	0	180	90	0	8	148	56	78	84	114	1574824397	1722606145	1044453096	52678846	G		XR Controller	6CBED730	083E616C		
55	UNCUED	0	45	270	4	2	66	56	78	84	114	1003672121	602621547	1703380264	729579124	R		XR Controller	F088AE08	BC9E36AC		
56	UNCUED	1	315	90	0	8	67	56	78	84	114	157430554	884124475	1492554473	2052723433	G		XR Controller	67DD8480	083E616C		
57	CUED	1	45	45	1	9	65	56	78	84	114	844220100	47796151	188313430	1423922988	G		XR Controller	CB090948	083E616C		
58	CUED	0	225	225	5	1	68	56	78	84	114	1066388788	493231230	1374953995	854355560	R		XR Controller	6CBED730	BC9E36AC		
59	UNCUED	1	135	315	3	3	67	56	78	84	114	821736975	1515691677	1788219467	780525478	G		XR Controller	67DD8480	083E616C		
60	UNCUED	0	0	0	2	6	69	56	78	84	114	2126413631	950553919	498183734	373786192	G		XR Controller	F088AE08	083E616C		
61	CUED	0	135	0	2	6	63	56	78	84	114	1070289709	1281635361	470591117	41610486	G		XR Controller	6CBED730	083E616C		
62	UNCUED	1	45	315	3	3	144	56	78	84	114	1093164251	553882616	128816944	1129975704	R		XR Controller	67DD8480	BC9E36AC		
63	UNCUED	1	180	135	7	7	136	56	78	84	114	1615148806	218855172	264666309	2042294108	R		XR Controller	67DD8480	BC9E36AC		
